R_fighter,B_fighter,Format,Referee,date,location,Fight_type,Winner,Title,weight_class,R_hst_SIG_STR._attempted,R_hst_SIG_STR._succeeded,R_hst_TOTAL_STR._attempted,R_hst_TOTAL_STR._succeeded,R_hst_TD_attempted,R_hst_TD_succeeded,R_hst_HEAD_attempted,R_hst_HEAD_succeeded,R_hst_BODY_attempted,R_hst_BODY_succeeded,R_hst_LEG_attempted,R_hst_LEG_succeeded,R_hst_DISTANCE_attempted,R_hst_DISTANCE_succeeded,R_hst_CLINCH_attempted,R_hst_CLINCH_succeeded,R_hst_GROUND_attempted,R_hst_GROUND_succeeded,R_hst_KD,R_hst_SIG_STR_pct,R_hst_TD_pct,R_hst_SUB_ATT,R_hst_PASS,R_hst_REV,B_hst_SIG_STR._attempted,B_hst_SIG_STR._succeeded,B_hst_TOTAL_STR._attempted,B_hst_TOTAL_STR._succeeded,B_hst_TD_attempted,B_hst_TD_succeeded,B_hst_HEAD_attempted,B_hst_HEAD_succeeded,B_hst_BODY_attempted,B_hst_BODY_succeeded,B_hst_LEG_attempted,B_hst_LEG_succeeded,B_hst_DISTANCE_attempted,B_hst_DISTANCE_succeeded,B_hst_CLINCH_attempted,B_hst_CLINCH_succeeded,B_hst_GROUND_attempted,B_hst_GROUND_succeeded,B_hst_KD,B_hst_SIG_STR_pct,B_hst_TD_pct,B_hst_SUB_ATT,B_hst_PASS,B_hst_REV,R_Stance,R_Height(cm),R_Weight(kg),R_Reach(cm),B_Stance,B_Height(cm),B_Weight(kg),B_Reach(cm),R_age,B_age,R_experience,B_experience,R_title_experience,B_title_experience,R_KO,B_KO,R_sub,B_sub,R_winning,B_winning,R_title_winning,B_title_winning
Henry Cejudo,Marlon Moraes,5 Rnd (5-5-5-5-5),Marc Goddard,2019-06-08,"Chicago, Illinois, USA",UFC Bantamweight Title Bout,Henry Cejudo,True,Bantamweight,101.4,44.0,129.9,69.1,5.3,1.9,74.2,23.9,21.9,16.4,5.3,3.7,75.0,26.5,17.0,11.0,9.4,6.5,0.4,0.466,0.458,0.1,1.2,0.0,65.4,22.6,66.4,23.6,0.8,0.2,48.6,11.2,9.2,6.0,7.6,5.4,62.6,20.6,0.2,0.0,2.6,2.0,0.8,0.466,0.1,0.4,0.4,0.0,Orthodox,162.56,61.23492,166.0318,Orthodox,167.64000000000001,61.23492,171.3912,32.0,31.0,10,5,3,0,0.2,0.4,0.0,0.2,0.8,0.8,0.6666666666666666,
Valentina Shevchenko,Jessica Eye,5 Rnd (5-5-5-5-5),Robert Madrigal,2019-06-08,"Chicago, Illinois, USA",UFC Women's Flyweight Title Bout,Valentina Shevchenko,True,Flyweight,115.85714285714286,59.42857142857143,161.57142857142858,102.85714285714286,5.142857142857143,2.4285714285714284,84.57142857142857,37.0,12.0,7.714285714285714,19.285714285714285,14.714285714285714,88.14285714285714,36.142857142857146,9.285714285714286,6.857142857142857,18.428571428571427,16.428571428571427,0.0,0.5757142857142857,0.6014285714285714,0.42857142857142855,1.7142857142857142,0.14285714285714285,138.9,51.3,158.7,69.6,1.0,0.5,112.0,32.0,14.6,9.1,12.3,10.2,124.7,42.1,11.8,7.3,2.4,1.9,0.0,0.399,0.225,0.7,0.8,0.0,Southpaw,165.1,56.699,168.7115,Orthodox,167.64000000000001,56.699,171.3912,31.0,33.0,7,10,2,0,0.0,0.1,0.2857142857142857,0.0,0.7142857142857143,0.4,0.5,
Tony Ferguson,Donald Cerrone,3 Rnd (5-5-5),Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Lightweight Bout,Tony Ferguson,False,Lightweight,124.33333333333333,55.46666666666667,133.0,63.4,0.9333333333333333,0.4,96.73333333333333,35.6,13.866666666666667,8.666666666666666,13.733333333333333,11.2,116.13333333333334,49.46666666666667,2.8666666666666667,1.7333333333333334,5.333333333333333,4.266666666666667,0.2,0.43000000000000005,0.2773333333333333,1.0,0.3333333333333333,0.13333333333333333,97.0,46.774193548387096,103.70967741935483,52.54838709677419,2.161290322580645,0.6774193548387096,67.64516129032258,23.258064516129032,15.35483870967742,11.32258064516129,14.0,12.193548387096774,84.74193548387096,38.58064516129032,6.741935483870968,4.387096774193548,5.516129032258065,3.806451612903226,0.6451612903225806,0.4961290322580645,0.2954838709677419,0.3548387096774194,0.9354838709677419,0.0967741935483871,Orthodox,180.34,70.30676,184.7897,Orthodox,185.42,70.30676,190.14909999999998,35.0,36.0,15,31,2,1,0.26666666666666666,0.3225806451612903,0.4,0.1935483870967742,0.9333333333333333,0.7419354838709677,1.0,0.0
Jimmie Rivera,Petr Yan,3 Rnd (5-5-5),Kevin MacDonald,2019-06-08,"Chicago, Illinois, USA",Bantamweight Bout,Petr Yan,False,Bantamweight,111.75,45.75,117.375,50.75,2.25,0.625,80.5,24.0,18.25,10.25,13.0,11.5,104.875,41.0,5.875,4.125,1.0,0.625,0.375,0.36624999999999996,0.10375000000000001,0.0,0.125,0.0,136.25,70.25,154.75,86.75,2.5,1.25,116.25,53.75,17.0,14.0,3.0,2.5,109.5,48.75,13.75,11.0,13.0,10.5,0.5,0.55,0.2875,0.25,0.5,0.25,Orthodox,162.56,61.23492,166.0318,Switch,170.18,61.23492,174.0709,30.0,26.0,8,4,0,0,0.125,0.5,0.0,0.0,0.75,1.0,,
Tai Tuivasa,Blagoy Ivanov,3 Rnd (5-5-5),Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Heavyweight Bout,Blagoy Ivanov,False,Heavyweight,62.25,32.5,63.5,32.75,0.5,0.0,50.75,22.75,7.75,6.75,3.75,3.0,50.75,24.75,11.0,7.25,0.5,0.5,0.5,0.545,0.0,0.0,0.25,0.0,203.5,61.5,204.0,62.0,0.0,0.0,184.5,45.0,17.0,14.5,2.0,2.0,201.0,59.5,2.5,2.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,Southpaw,187.96,119.748288,192.8288,Southpaw,180.34,113.398,184.7897,26.0,33.0,4,2,0,0,0.5,0.0,0.0,0.0,0.75,0.5,,
Tatiana Suarez,Nina Ansaroff,3 Rnd (5-5-5),Robert Madrigal,2019-06-08,"Chicago, Illinois, USA",Women's Strawweight Bout,Tatiana Suarez,False,Strawweight,58.0,42.75,101.5,80.5,5.5,4.5,44.75,31.25,8.75,7.5,4.5,4.0,12.75,4.75,3.0,2.25,42.25,35.75,0.0,0.6375000000000001,0.8175000000000001,0.5,7.75,0.0,160.16666666666666,75.16666666666667,183.5,95.66666666666667,0.8333333333333334,0.3333333333333333,117.83333333333333,42.666666666666664,19.5,12.333333333333334,22.833333333333332,20.166666666666668,142.33333333333334,63.833333333333336,11.833333333333334,7.166666666666667,6.0,4.166666666666667,0.0,0.47000000000000003,0.25,0.6666666666666666,1.3333333333333333,0.16666666666666666,Orthodox,165.1,52.16308,168.7115,Orthodox,165.1,52.16308,168.7115,28.0,34.0,4,6,1,0,0.25,0.0,0.5,0.16666666666666666,1.0,0.6666666666666666,1.0,
Aljamain Sterling,Pedro Munhoz,3 Rnd (5-5-5),Marc Goddard,2019-06-08,"Chicago, Illinois, USA",Bantamweight Bout,Aljamain Sterling,False,Bantamweight,102.66666666666667,52.25,138.33333333333334,85.75,5.333333333333333,1.75,63.0,23.333333333333332,25.166666666666668,18.25,14.5,10.666666666666666,72.58333333333333,29.416666666666668,14.0,11.083333333333334,16.083333333333332,11.75,0.0,0.48999999999999994,0.4175,0.75,1.5,0.08333333333333333,96.08333333333333,41.5,102.66666666666667,47.5,2.75,0.5833333333333334,66.58333333333333,24.0,15.0,7.416666666666667,14.5,10.083333333333334,84.91666666666667,34.666666666666664,6.083333333333333,3.4166666666666665,5.083333333333333,3.4166666666666665,0.4166666666666667,0.4991666666666667,0.2333333333333333,0.6666666666666666,0.5833333333333334,0.08333333333333333,Orthodox,170.18,61.23492,174.0709,Orthodox,167.64000000000001,61.23492,171.3912,30.0,33.0,12,12,0,0,0.08333333333333333,0.25,0.25,0.25,0.75,0.6666666666666666,,
Karolina Kowalkiewicz,Alexa Grasso,3 Rnd (5-5-5),Kevin MacDonald,2019-06-08,"Chicago, Illinois, USA",Women's Strawweight Bout,Alexa Grasso,False,Strawweight,187.11111111111111,73.55555555555556,211.22222222222223,95.0,0.7777777777777778,0.1111111111111111,149.0,46.77777777777778,25.22222222222222,17.555555555555557,12.88888888888889,9.222222222222221,155.77777777777777,49.77777777777778,27.555555555555557,20.77777777777778,3.7777777777777777,3.0,0.0,0.38000000000000006,0.05555555555555555,0.0,0.7777777777777778,0.1111111111111111,126.25,53.75,165.5,87.5,0.5,0.25,94.25,29.75,16.25,11.0,15.75,13.0,105.75,40.0,17.5,11.25,3.0,2.5,0.0,0.5025,0.125,0.25,0.25,0.25,Orthodox,160.02,52.16308,163.3521,Orthodox,165.1,52.16308,168.7115,34.0,26.0,9,4,1,0,0.0,0.0,0.0,0.0,0.5555555555555556,0.5,0.0,
Ricardo Lamas,Calvin Kattar,3 Rnd (5-5-5),Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Featherweight Bout,Calvin Kattar,False,Featherweight,68.4,32.266666666666666,80.0,43.53333333333333,3.7333333333333334,1.0666666666666667,45.93333333333333,15.266666666666667,8.333333333333334,6.733333333333333,14.133333333333333,10.266666666666667,54.266666666666666,21.2,7.2,6.4,6.933333333333334,4.666666666666667,0.13333333333333333,0.47800000000000004,0.30133333333333334,0.6666666666666666,0.6666666666666666,0.4,135.5,56.25,139.25,59.0,1.5,0.5,122.25,46.5,7.25,4.75,6.0,5.0,125.0,50.75,1.75,0.5,8.75,5.0,0.5,0.42,0.165,0.0,0.0,0.0,Orthodox,172.72,65.77083999999999,176.7506,Orthodox,180.34,65.77083999999999,184.7897,37.0,31.0,15,4,1,0,0.26666666666666666,0.5,0.2,0.0,0.6666666666666666,0.75,0.0,
Yan Xiaonan,Angela Hill,3 Rnd (5-5-5),Robert Madrigal,2019-06-08,"Chicago, Illinois, USA",Women's Strawweight Bout,Yan Xiaonan,False,Strawweight,256.3333333333333,105.66666666666667,260.6666666666667,109.0,0.3333333333333333,0.0,213.66666666666666,79.0,9.333333333333334,5.333333333333333,33.333333333333336,21.333333333333332,244.33333333333334,97.66666666666667,10.666666666666666,7.333333333333333,1.3333333333333333,0.6666666666666666,0.0,0.4033333333333333,0.0,0.0,0.0,0.0,146.2,74.3,159.0,85.8,0.8,0.3,108.3,45.3,25.4,17.9,12.5,11.1,121.1,55.6,22.5,16.8,2.6,1.9,0.2,0.48,0.25,0.0,0.1,0.1,Orthodox,165.1,52.16308,168.7115,Orthodox,160.02,52.16308,163.3521,30.0,34.0,3,10,0,0,0.0,0.0,0.0,0.0,1.0,0.4,,
