fighter_name,Stance,DOB,Height(cm),Weight(kg),Reach(cm)
AJ Fonseca,Orthodox,,162.56,65.77083999999999,166.0318
AJ Matthews,Orthodox,,180.34,83.91452,184.7897
AJ McKee,Orthodox,,177.8,65.77083999999999,182.11
AJ Siscoe,Orthodox,,170.18,61.23492,174.0709
Aalon Cruz,Orthodox,,182.88,65.77083999999999,187.46939999999998
Aaron Brink,Orthodox,1974-11-12,190.5,92.98636,195.5085
Aaron Ely,Orthodox,1989-03-18,172.72,61.23492,176.7506
Aaron Jeffery,Orthodox,1992-11-14,187.96,83.91452,192.8288
Aaron Lanfranco,Orthodox,1986-08-26,,70.30676,
Aaron Miller,Orthodox,,175.26,65.77083999999999,179.4303
Aaron Phillips,Southpaw,1989-08-05,175.26,61.23492,179.4303
Aaron Riley,Southpaw,1980-12-09,172.72,70.30676,176.7506
Aaron Rosa,Orthodox,1983-05-28,193.04,92.98636,198.1882
Aaron Simpson,Orthodox,1974-07-20,182.88,77.11064,187.46939999999998
Aaron Trujillo,Orthodox,,165.1,56.699,168.7115
Aaron Wetherspoon,Orthodox,,,77.11064,
Aaron Wilkinson,Orthodox,1987-01-31,177.8,70.30676,182.11
Abdul Razak Alhassan,Orthodox,1985-08-11,177.8,77.11064,182.11
Abdul-Kerim Edilov,Orthodox,1991-11-25,187.96,92.98636,192.8288
Abel Cullum,Orthodox,1987-04-21,170.18,63.049288,174.0709
Abel Trujillo,Orthodox,1983-09-18,172.72,70.30676,176.7506
Abner Lloveras,Orthodox,1982-09-04,180.34,70.30676,184.7897
Abongo Humphrey,Orthodox,,180.34,92.98636,184.7897
Abram Torres,Orthodox,1982-10-29,177.8,77.11064,182.11
Abu Azaitar,Orthodox,1986-03-10,175.26,83.91452,179.4303
Achmed Labasanov,Orthodox,1978-04-24,190.5,97.52228,195.5085
Adam Antolin,Orthodox,1982-02-28,165.1,56.699,168.7115
Adam Cella,Orthodox,1985-06-26,187.96,77.11064,192.8288
Adam Hunter,Orthodox,1983-10-16,185.42,83.91452,190.14909999999998
Adam Khaliev,Orthodox,1984-04-16,182.88,77.11064,187.46939999999998
Adam Lynn,Orthodox,,177.8,70.30676,182.11
Adam Meredith,Orthodox,,187.96,77.11064,192.8288
Adam Milstead,Orthodox,1987-07-03,190.5,92.98636,195.5085
Adam Piccolotti,Orthodox,1988-10-23,180.34,70.30676,184.7897
